menu_item_description,subsection,address,item_id,restaurant_phone,restaurant_id,price_range,subsection_description,menu_item_name,cuisines,restaurant_name,geo,restaurant_hours,menu_item_pricing
Two shrimp and six vegetables. Deep fried shrimp and assorted vegetables.,Appetizers,"{city:Chicago,formatted:1235 W Devon Ave Chicago, IL 60660,street:1235 W Devon Ave,state:IL,postal_code:60660}",733064059,(773) 262-5216,305256,$, ,Nori Tempura,"[Japanese,Sushi]",Nori Sushi,"{lon:-87.662092,lat:41.998098}",Mon-Thu: 11am-11pm  Fri-Sat: 11am-12am  Sun: 11am-10pm,"[{priceString:$9.50,price:9.5,currency:USD}]"
"Stir fried carrots, green onion, basil leaf and fresh ginger in homemade chili sauce and served over crispy ramen noodles.",Nori Noodles,"{city:Chicago,formatted:1235 W Devon Ave Chicago, IL 60660,street:1235 W Devon Ave,state:IL,postal_code:60660}",733066624,(773) 262-5216,305256,$,,Spicy Crispy Noodles,"[Japanese,Sushi]",Nori Sushi,"{lon:-87.662092,lat:41.998098}",Mon-Thu: 11am-11pm  Fri-Sat: 11am-12am  Sun: 11am-10pm,"[{priceString:$10.95,price:10.95,currency:USD}]"
Chef's selection: five pieces sushi and one California maki. Served with miso soup.,Nori Sushi and Sashimi Platters,"{city:Chicago,formatted:1235 W Devon Ave Chicago, IL 60660,street:1235 W Devon Ave,state:IL,postal_code:60660}",733067679,(773) 262-5216,305256,$,,Nori Sushi Ume,"[Japanese,Sushi]",Nori Sushi,"{lon:-87.662092,lat:41.998098}",Mon-Thu: 11am-11pm  Fri-Sat: 11am-12am  Sun: 11am-10pm,"[{priceString:$15.00,price:15,currency:USD}]"
Squid.,Sushi Nigiri and Sashimi,"{city:Chicago,formatted:1235 W Devon Ave Chicago, IL 60660,street:1235 W Devon Ave,state:IL,postal_code:60660}",733068224,(773) 262-5216,305256,$,,Ika,"[Japanese,Sushi]",Nori Sushi,"{lon:-87.662092,lat:41.998098}",Mon-Thu: 11am-11pm  Fri-Sat: 11am-12am  Sun: 11am-10pm,"[{priceString:$3.00,price:3,currency:USD}]"
"Tuna, masago, spicy mayo, chili oil, avocado, green onion and tempura crumbs.",Nori Maki Rolls,"{city:Chicago,formatted:1235 W Devon Ave Chicago, IL 60660,street:1235 W Devon Ave,state:IL,postal_code:60660}",733070839,(773) 262-5216,305256,$,,Crunchy Spicy Tuna Maki,"[Japanese,Sushi]",Nori Sushi,"{lon:-87.662092,lat:41.998098}",Mon-Thu: 11am-11pm  Fri-Sat: 11am-12am  Sun: 11am-10pm,"[{priceString:$11.00,price:11,currency:USD}]"
Deep fried banana topped with unagi sauce and honey wasabi mayo.,Nori Maki Rolls,"{city:Chicago,formatted:1235 W Devon Ave Chicago, IL 60660,street:1235 W Devon Ave,state:IL,postal_code:60660}",733071199,(773) 262-5216,305256,$,,Banana Maki,"[Japanese,Sushi]",Nori Sushi,"{lon:-87.662092,lat:41.998098}",Mon-Thu: 11am-11pm  Fri-Sat: 11am-12am  Sun: 11am-10pm,"[{priceString:$7.00,price:7,currency:USD}]"
Fresh big eye tuna and fresh avocado,Nori Maki Rolls,"{city:Chicago,formatted:1235 W Devon Ave Chicago, IL 60660,street:1235 W Devon Ave,state:IL,postal_code:60660}",733072899,(773) 262-5216,305256,$,,Boston Maki,"[Japanese,Sushi]",Nori Sushi,"{lon:-87.662092,lat:41.998098}",Mon-Thu: 11am-11pm  Fri-Sat: 11am-12am  Sun: 11am-10pm,"[{priceString:$8.50,price:8.5,currency:USD}]"
"Served with miso soup, rice, salad, deep fried gyoza and California maki roll.",Bento Boxes,"{city:Chicago,formatted:1236 W Devon Ave Chicago, IL 60660,street:1235 W Devon Ave,state:IL,postal_code:60660}",733074294,(773) 262-5216,305256,$, ,Garlic Fried Rice Bento Box,"[Japanese,Sushi]",Nori Sushi,"{lon:-87.662092,lat:41.998098}",Mon-Thu: 11am-11pm  Fri-Sat: 11am-12am  Sun: 11am-10pm,"[{priceString:$12.95,price:12.95,currency:USD}]"
Served with miso soup and salad. . No substitution.,Lunch Bento Box,"{city:Chicago,formatted:1235 W Devon Ave Chicago, IL 60660,street:1235 W Devon Ave,state:IL,postal_code:60660}",733074914,(773) 262-5216,305256,$, ,Sashimi Bento Box Lunch,"[Japanese,Sushi]",Nori Sushi,"{lon:-87.662092,lat:41.998098}",Mon-Thu: 11am-11pm  Fri-Sat: 11am-12am  Sun: 11am-10pm,"[{priceString:$14.95,price:14.95,currency:USD}]"
"Served with miso soup, rice, salad, deep fried gyoza and California maki roll. No substitution.",Lunch Bento Box,"{city:Chicago,formatted:1235 W Devon Ave Chicago, IL 60660,street:1235 W Devon Ave,state:IL,postal_code:60660}",733074969,(773) 262-5216,305256,$, ,Garlic Fried Rice Bento Box Lunch,"[Japanese,Sushi]",Nori Sushi,"{lon:-87.662092,lat:41.998098}",Mon-Thu: 11am-11pm  Fri-Sat: 11am-12am  Sun: 11am-10pm,"[{priceString:$10.95,price:10.95,currency:USD}]"
"Served with miso soup, rice, salad, deep fried gyoza and California maki roll. No substitution.",Lunch Bento Box,"{city:Chicago,formatted:1235 W Devon Ave Chicago, IL 60660,street:1235 W Devon Ave,state:IL,postal_code:60660}",733075404,(773) 262-5216,305256,$, ,Rib Eye Steak Teriyaki Bento Box Lunch,"[Japanese,Sushi]",Nori Sushi,"{lon:-87.662092,lat:41.998098}",Mon-Thu: 11am-11pm  Fri-Sat: 11am-12am  Sun: 11am-10pm,"[{priceString:$14.95,price:14.95,currency:USD}]"
"Served with miso soup, seaweed salad and edamame.",Lunch Nori Entrees From Sushi Bar,"{city:Chicago,formatted:1235 W Devon Ave Chicago, IL 60660,street:1235 W Devon Ave,state:IL,postal_code:60660}",733075509,(773) 262-5216,305256,$, ,Chirashi Don Lunch,"[Japanese,Sushi]",Nori Sushi,"{lon:-87.662092,lat:41.998098}",Mon-Thu: 11am-11pm  Fri-Sat: 11am-12am  Sun: 11am-10pm,"[{priceString:$15.95,price:15.95,currency:USD}]"
"Served with miso soup, seaweed salad and edamame.",Lunch Nori Entrees From Sushi Bar,"{city:Chicago,formatted:1235 W Devon Ave Chicago, IL 60660,street:1235 W Devon Ave,state:IL,postal_code:60660}",733075564,(773) 262-5216,305256,$, ,Hamachi Don Lunch,"[Japanese,Sushi]",Nori Sushi,"{lon:-87.662092,lat:41.998098}",Mon-Thu: 11am-11pm  Fri-Sat: 11am-12am  Sun: 11am-10pm,"[{priceString:$15.95,price:15.95,currency:USD}]"
,Sides,"{city:Chicago,formatted:1235 W Devon Ave Chicago, IL 60660,street:1235 W Devon Ave,state:IL,postal_code:60660}",733076094,(773) 262-5216,305256,$, ,Ginger,"[Japanese,Sushi]",Nori Sushi,"{lon:-87.662092,lat:41.998098}",Mon-Thu: 11am-11pm  Fri-Sat: 11am-12am  Sun: 11am-10pm,"[{priceString:$1.00,price:1,currency:USD}]"
,Nori Catering Trays,"{city:Chicago,formatted:1235 W Devon Ave Chicago, IL 60660,street:1235 W Devon Ave,state:IL,postal_code:60660}",733076479,(773) 262-5216,305256,$,Party Trays - can be made in the same amount of time as other items.,Edamame Tray,"[Japanese,Sushi]",Nori Sushi,"{lon:-87.662092,lat:41.998098}",Mon-Thu: 11am-11pm  Fri-Sat: 11am-12am  Sun: 11am-10pm,"[{priceString:$20.00,price:20,currency:USD}]"
,Beverages,"{city:Chicago,formatted:1235 W Devon Ave Chicago, IL 60660,street:1235 W Devon Ave,state:IL,postal_code:60660}",733062989,(773) 262-5216,305256,$, ,Soft Drinks,"[Japanese,Sushi]",Nori Sushi,"{lon:-87.662092,lat:41.998098}",Mon-Thu: 11am-11pm  Fri-Sat: 11am-12am  Sun: 11am-10pm,"[{priceString:$1.75,price:1.75,currency:USD}]"
,Beverages,"{city:Chicago,formatted:1235 W Devon Ave Chicago, IL 60660,street:1235 W Devon Ave,state:IL,postal_code:60660}",733063314,(773) 262-5216,305256,$, , Joe Tea Iced Tea,"[Japanese,Sushi]",Nori Sushi,"{lon:-87.662092,lat:41.998098}",Mon-Thu: 11am-11pm  Fri-Sat: 11am-12am  Sun: 11am-10pm,"[{priceString:$2.95,price:2.95,currency:USD}]"
Whole fresh soft shell crab deep fried to sushi crispness and served with a special ponzu sauce.,Appetizers,"{city:Chicago,formatted:1235 W Devon Ave Chicago, IL 60660,street:1235 W Devon Ave,state:IL,postal_code:60660}",733064144,(773) 262-5216,305256,$, ,Soft Shell Crab,"[Japanese,Sushi]",Nori Sushi,"{lon:-87.662092,lat:41.998098}",Mon-Thu: 11am-11pm  Fri-Sat: 11am-12am  Sun: 11am-10pm,"[{priceString:$8.50,price:8.5,currency:USD}]"
"Soy bean broth. Soft tofu, seaweed and green onion.",Soups,"{city:Chicago,formatted:1235 W Devon Ave Chicago, IL 60660,street:1235 W Devon Ave,state:IL,postal_code:60660}",733065399,(773) 262-5216,305256,$,,Miso Soup,"[Japanese,Sushi]",Nori Sushi,"{lon:-87.662092,lat:41.998098}",Mon-Thu: 11am-11pm  Fri-Sat: 11am-12am  Sun: 11am-10pm,"[{priceString:$2.50,price:2.5,currency:USD}]"
"Japanese egg noodles, rice pork broth, pork chashu, marinated bamboo shoots, quail eggs, scallion, spinach and sesame see topped with green onion, fish cake and a seaweed sheet.",Nori Noodle Soup,"{city:Chicago,formatted:1235 W Devon Ave Chicago, IL 60660,street:1235 W Devon Ave,state:IL,postal_code:60660}",733065834,(773) 262-5216,305256,$,,Tonkotsu Ramen Noodle Soup,"[Japanese,Sushi]",Nori Sushi,"{lon:-87.662092,lat:41.998098}",Mon-Thu: 11am-11pm  Fri-Sat: 11am-12am  Sun: 11am-10pm,"[{priceString:$12.95,price:12.95,currency:USD}]"
"Japanese egg noodles, marinated bamboo shoots, quail eggs, spinach, Japanese prepared vegetables and sesame seeds. Topped with deep-fried breaded chicken, green onions, fish cake and a seaweed sheet in a special miso based broth.",Nori Noodle Soup,"{city:Chicago,formatted:1235 W Devon Ave Chicago, IL 60660,street:1235 W Devon Ave,state:IL,postal_code:60660}",733065999,(773) 262-5216,305256,$,,Chicken Katsu Ramen Noodle Soup,"[Japanese,Sushi]",Nori Sushi,"{lon:-87.662092,lat:41.998098}",Mon-Thu: 11am-11pm  Fri-Sat: 11am-12am  Sun: 11am-10pm,"[{priceString:$12.95,price:12.95,currency:USD}]"
"Served with miso soup, seaweed salad and edamame.",Nori Entrees From Sushi Bar,"{city:Chicago,formatted:1235 W Devon Ave Chicago, IL 60660,street:1235 W Devon Ave,state:IL,postal_code:60660}",733067624,(773) 262-5216,305256,$,,Unagi Don Dinner,"[Japanese,Sushi]",Nori Sushi,"{lon:-87.662092,lat:41.998098}",Mon-Thu: 11am-11pm  Fri-Sat: 11am-12am  Sun: 11am-10pm,"[{priceString:$25.00,price:25,currency:USD}]"
Chef's selection: nine pieces sushi and one spicy tuna maki. Served with miso soup.,Nori Sushi and Sashimi Platters,"{city:Chicago,formatted:1235 W Devon Ave Chicago, IL 60660,street:1235 W Devon Ave,state:IL,postal_code:60660}",733067734,(773) 262-5216,305256,$,,Nori Sushi Matsu,"[Japanese,Sushi]",Nori Sushi,"{lon:-87.662092,lat:41.998098}",Mon-Thu: 11am-11pm  Fri-Sat: 11am-12am  Sun: 11am-10pm,"[{priceString:$20.00,price:20,currency:USD}]"
Sweet shrimp.,Sushi Nigiri and Sashimi,"{city:Chicago,formatted:1235 W Devon Ave Chicago, IL 60660,street:1235 W Devon Ave,state:IL,postal_code:60660}",733067974,(773) 262-5216,305256,$,,Botan Ebi,"[Japanese,Sushi]",Nori Sushi,"{lon:-87.662092,lat:41.998098}",Mon-Thu: 11am-11pm  Fri-Sat: 11am-12am  Sun: 11am-10pm,"[{priceString:$3.50,price:3.5,currency:USD}]"
Crab meat.,Sushi Nigiri and Sashimi,"{city:Chicago,formatted:1235 W Devon Ave Chicago, IL 60660,street:1235 W Devon Ave,state:IL,postal_code:60660}",733068464,(773) 262-5216,305256,$,,Kani,"[Japanese,Sushi]",Nori Sushi,"{lon:-87.662092,lat:41.998098}",Mon-Thu: 11am-11pm  Fri-Sat: 11am-12am  Sun: 11am-10pm,"[{priceString:$3.50,price:3.5,currency:USD}]"
