geo,hours,address,restaurant_phone,restaurant_id,price_range,menus,price_range_100,cuisines,restaurant_name
"{lon:-87.662092,lat:41.998098}",Mon-Thu: 11am-11pm  Fri-Sat: 11am-12am  Sun: 11am-10pm,"{city:Chicago,formatted:1235 W Devon Ave Chicago, IL 60660,street:1235 W Devon Ave,state:IL,postal_code:60660}",(773) 262-5216,305256,$,[],1,"[Japanese,Sushi]",Nori Sushi
"{lon:-114.293094,lat:48.341844}",,"{city:COLUMBIA FALLS,formatted:1187 Hodgson Rd COLUMBIA FALLS, MT 59912,street:1187 Hodgson Rd,state:MT,postal_code:59912}",(406) 362-3093,129697,,[],0,["Sandwiches"],Subway
"{lon:-95.011821,lat:29.770336}",,"{city:BAYTOWN,formatted:4309 W Baker Rd BAYTOWN, TX 77521,street:4309 W Baker Rd,state:TX,postal_code:77521}",(281) 424-1451,162093,,[],0,"[American,Burgers,Ice Cream]",Dairy Queen
"{lon:-77.731966,lat:43.16493}",,"{city:ROCHESTER,formatted:3872 Lyell Rd ROCHESTER, NY 14606,street:3872 Lyell Rd,state:NY,postal_code:14606}",(585) 247-7575,24957,,[],0,"[American,Pizza]",Carmine's Express
"{lon:-122.341946,lat:47.610187}",,"{city:Seattle,formatted:1914 Post Alley Seattle, WA 98101,street:1914 Post Alley,state:WA,postal_code:98101}",(206) 443-2150,341729,$$$,[],3,[],Post
"{lon:-72.590004,lat:42.102272}",,"{city:Springfield,formatted:1390 Main St Springfield, MA 01103,street:1390 Main St,state:MA,postal_code:01103}",(413) 737-7373,345281,$$,[],2,[],Nadim's Mediterranean Grill
"{lon:-119.163648,lat:46.212299}",,"{city:KENNEWICK,formatted:3115 W Clearwater Ave KENNEWICK, WA 99336,street:3115 W Clearwater Ave,state:WA,postal_code:99336}",(509) 783-5585,195777,,[],0,"[American,Burgers]",Wendy's
"{lon:-84.074281,lat:34.064328}",,"{city:Suwanee,formatted:455 Peachtree Industrial Blvd Suwanee, GA 30024,street:455 Peachtree Industrial Blvd,state:GA,postal_code:30024}",(770) 831-5560,528219,,[],0,[],Taco Bell
"{lon:-79.923183,lat:40.43291}", ,"{city:PITTSBURGH,formatted:2128 Murray Ave PITTSBURGH, PA 15217,street:2128 Murray Ave,state:PA,postal_code:15217}",(412) 521-9864,27947,$$,[],2,"[American,Pizza]",Mineo's Pizza House
"{lon:-96.658852,lat:32.702323}",,"{city:DALLAS,formatted:9531 C F Hawn Fwy DALLAS, TX 75217,street:9531 C F Hawn Fwy,state:TX,postal_code:75217}",(214) 391-7792,62564,,[],0,["Sandwiches"],Subway
"{lon:-120.357174,lat:36.143493}",,"{city:Coalinga,formatted:451 E. Elm Avenue Coalinga, CA 93210,street:451 E. Elm Avenue,state:CA,postal_code:93210}",(559) 935-0638,528234,,[],0,[],Taco Bell
"{lon:-122.680751,lat:45.517258}",,"{city:PORTLAND,formatted:1001 SW Broadway PORTLAND, OR 97205,street:1001 SW Broadway,state:OR,postal_code:97205}",(503) 790-7752,26493,$,[],1,"[American,Breakfast,Coffee &amp; Tea,Sandwiches,Seafood,Steak]",Heathman Restaurant & Bar
"{lon:-84.396251,lat:33.792438}",,"{city:ATLANTA,formatted:245 18th St NW ATLANTA, GA 30363,street:245 18th St NW,state:GA,postal_code:30363}",(404) 347-4090,23467,$$,[],2,["Mexican"],Rosa Mexicano
"{lon:-77.409515,lat:39.376366}",,"{city:FREDERICK,formatted:5253 Buckeystown Pike FREDERICK, MD 21704,street:5253 Buckeystown Pike,state:MD,postal_code:21704}",(301) 682-8229,131580,,[],0,"[American,Sandwiches,Wraps]",Quiznos Sub
"{lon:-82.603848,lat:27.495711}",,"{city:BRADENTON,formatted:6401 Manatee Ave W BRADENTON, FL 34209,street:6401 Manatee Ave W,state:FL,postal_code:34209}",(941) 792-1380,29965,$,[],1,["American"],Atlanta Bread Company
"{lon:-71.060548,lat:42.351198}",Daily :11am-3:30am,"{city:BOSTON,formatted:8 Tyler St BOSTON, MA 02111,street:8 Tyler St,state:MA,postal_code:02111}",(617) 423-1338,953,,[],0,"[American,Chinese,Seafood]",Ocean Wealth Restaurant
"{lon:-81.783737,lat:41.476995}",,"{city:LAKEWOOD,formatted:13359 Madison Ave LAKEWOOD, OH 44107,street:13359 Madison Ave,state:OH,postal_code:44107}",(216) 228-0110,28300,,[],0,["Thai"],Thai Hut
"{lon:-118.256192,lat:34.047009}",,"{city:Los Angeles,formatted:518 W 7th St Los Angeles, CA 90014,street:518 W 7th St,state:CA,postal_code:90014}",(310) 923-8609,520744,,[],0,[],"So Long, Hi"
"{lon:-83.330932,lat:42.288927}",,"{city:INKSTER,formatted:29403 Michigan Ave INKSTER, MI 48141,street:29403 Michigan Ave,state:MI,postal_code:48141}",(734) 326-5227,24973,,[],0,"[American,Sandwiches,Wraps]",Tubby's Grilled Submarines
"{lon:-74.103375,lat:40.897441}",,"{city:Elmwood Park,formatted:622 Market Street Elmwood Park, NJ 07407,street:622 Market Street,state:NJ,postal_code:07407}",(201) 791-2155,527522,,[],0,[],Taco Bell
"{lon:-78.936573,lat:42.711876}",,"{city:Lake View,formatted:1986 Lakeview Rd Lake View, NY 14085,street:1986 Lakeview Rd,state:NY,postal_code:14085}",(716) 627-3499,414766,$$$,[],3,[],JP's Pub
"{lon:-82.937087,lat:42.656625}",,"{city:MACOMB,formatted:48836 Romeo Plank Rd MACOMB, MI 48044,street:48836 Romeo Plank Rd,state:MI,postal_code:48044}",(586) 555-1212,24979,,[],0,"[American,Sandwiches,Wraps]",Tubby's Grilled Submarines
"{lon:-74.202324,lat:40.910594}",,"{city:Totowa,formatted:79 Union Blvd Totowa, NJ 07512,street:79 Union Blvd,state:NJ,postal_code:07512}",(973) 904-0544,521588,,[],0,[],Venezia Pizzeria & Restaurant
"{lon:-73.634665,lat:40.727036}", ,"{city:GARDEN CITY,formatted:825 Franklin Ave GARDEN CITY, NY 11530,street:825 Franklin Ave,state:NY,postal_code:11530}",(516) 248-6161,233629,$$,[],2,["Chinese"],Asia Moon
"{lon:-83.188834,lat:42.520366}",,"{city:ROYAL OAK,formatted:31253 Woodward Ave ROYAL OAK, MI 48073,street:31253 Woodward Ave,state:MI,postal_code:48073}",(248) 549-4130,26642,,[],0,["American"],The Avenue
"{lon:-71.086704,lat:42.343419}",Lunch   Mon-Fri: 11:30am-4pm  Sat: 11:30am-2pm  Sun: 12pm-2pm  Dinner  Mon-Thu: 4pm-10pm  Fri: 4pm-10:30pm  Sat: 2pm-10:30  Sun: 2pm-10pm,"{city:BOSTON,formatted:14a Westland Ave BOSTON, MA 02115,street:14a Westland Ave,state:MA,postal_code:02115}",(617) 236-7907,980,$,[],1,["Thai"],Pan Thai
"{lon:-77.35596,lat:37.610902}",,"{city:MECHANICSVILLE,formatted:7401 Sandy Ln MECHANICSVILLE, VA 23111,street:7401 Sandy Ln,state:VA,postal_code:23111}",(804) 730-5764,95326,,[],0,"[American,Burgers,Salads,Sandwiches,Soups,Steak,Wraps]",IHOP
"{lon:-73.534152,lat:40.744625}",,"{city:Hicksville,formatted:14 W Village Grn Hicksville, NY 11801,street:14 W Village Grn,state:NY,postal_code:11801}",(516) 261-9299,522772,,[],0,[],Texas Taco
"{lon:-73.186726,lat:44.490644}",,"{city:Winooski,formatted:38 Main St Winooski, VT 05404,street:38 Main St,state:VT,postal_code:05404}",(802) 399-2020,414781,$,[],1,[],Mule Bar
"{lon:-71.070934,lat:42.359881}",Breakfast   Mon-Fri: 8am-11am   Lunch   Mon-Fri: 11am-4:30pm   Dinner   Mon-Sat: 5pm-9:30pm   Sun: 5pm-9pm   Brunch   Sat-Sun: 9am-3:30pm,"{city:BOSTON,formatted:144 Charles St BOSTON, MA 02114,street:144 Charles St,state:MA,postal_code:02114}",(617) 227-4340,982,$,[],1,["Italian"],Panificio
"{lon:-71.070294,lat:42.3582}",Lunch   Thu-Fri: 12pm-2pm   Dinner   Sun-Thu: 5:30pm-9:30pm   Fri-Sat: 5:30pm-10pm   Brunch   Sun: 11am-2pm,"{city:BOSTON,formatted:71 Charles St BOSTON, MA 02114,street:71 Charles St,state:MA,postal_code:02114}",(617) 227-3524,684,$,[],1,["French"],The Hungry I
"{lon:-74.368589,lat:40.416731}",,"{city:EAST BRUNSWICK,formatted:1020 State Route 18 EAST BRUNSWICK, NJ 08816,street:1020 State Route 18,state:NJ,postal_code:08816}",(732) 390-1922,2397818,$$,[],2,["Japanese"],Shogun 18
"{lon:-118.264378,lat:34.160748}",,"{city:Glendale,formatted:1100 N Pacific Ave Glendale, CA 91202,street:1100 N Pacific Ave,state:CA,postal_code:91202}",(818) 545-8424,308878,$$,[],2,"[Asian,Thai]",Thai Rama
"{lon:-87.909186,lat:42.988755}",,"{city:MILWAUKEE,formatted:3050 S Chase Ave MILWAUKEE, WI 53207,street:3050 S Chase Ave,state:WI,postal_code:53207}",(414) 744-9160,195808,,[],0,"[American,Burgers]",Wendy's
"{lon:-105.100656,lat:39.71034}", ,"{city:DENVER,formatted:9208 W Alameda Ave DENVER, CO 80226,street:9208 W Alameda Ave,state:CO,postal_code:80226}",(303) 987-3360,25118,$,[],1,"[Asian,Noodles]",Tott Asian Grill
"{lon:-76.55463,lat:37.152776}",,"{city:NEWPORT NEWS,formatted:15447 Warwick Blvd NEWPORT NEWS, VA 23608,street:15447 Warwick Blvd,state:VA,postal_code:23608}",(757) 877-3991,95329,,[],0,"[American,Burgers,Salads,Sandwiches,Soups,Steak,Wraps]",IHOP
"{lon:-117.211205,lat:32.872215}",,"{city:San Diego,formatted:4545 La Jolla Village Dr San Diego, CA 92122,street:4545 La Jolla Village Dr,state:CA,postal_code:92122}",(858) 291-8311,521600,,[],0,[],Bibigo - UTC
"{lon:-82.024414,lat:33.508995}",,"{city:AUGUSTA,formatted:2744 Washington Rd AUGUSTA, GA 30909,street:2744 Washington Rd,state:GA,postal_code:30909}",(706) 738-5504,95333,,[],0,"[American,Steak]",Lone Star Steakhouse & Saloon
"{lon:-107.090261,lat:39.393722}",,"{city:Carbondale,formatted:60 El Jebel Rd Carbondale, CO 81623,street:60 El Jebel Rd,state:CO,postal_code:81623}",(970) 963-2600,377838,$,[],1,[],Bella Mia
"{lon:-77.710256,lat:39.63833}",,"{city:Hagerstown,formatted:450 Dual Hwy Hagerstown, MD 21740,street:450 Dual Hwy,state:MD,postal_code:21740}",(301) 733-8898,528251,,[],0,[],Taco Bell
"{lon:-92.3287,lat:38.94887}",,"{city:Columbia,formatted:220 S 8th St Columbia, MO 65201,street:220 S 8th St,state:MO,postal_code:65201}",(573) 503-4242,341073,$$,[],2,[],Bread Basket Cafe
"{lon:-82.338881,lat:26.938244}",,"{city:Englewood,formatted:1725 McCall Rd Englewood, FL 34223,street:1725 McCall Rd,state:FL,postal_code:34223}",(941) 475-6678,163561,,[],0,"[American,Burgers,Hot Dogs,Sandwiches,Wraps]",Checkers
"{lon:-73.945953,lat:40.714289}",,"{city:Brooklyn,formatted:690 Metropolitan Ave Brooklyn, NY 11211,street:690 Metropolitan Ave,state:NY,postal_code:11211}",(347) 689-2477,520852,,[],0,[],Gotta Eats
"{lon:-84.358172,lat:33.632739}",,"{city:Forest Park,formatted:4465 Jonesboro Forest Park, GA 30297,street:4465 Jonesboro,state:GA,postal_code:30297}",(404) 361-6509,528270,,[],0,[],Taco Bell
"{lon:-120.738498,lat:37.388461}",,"{city:Livingston,formatted:339 Joseph Gallo Drive Livingston, CA 95334,street:339 Joseph Gallo Drive,state:CA,postal_code:95334}",(209) 394-7746,528904,,[],0,[],Taco Bell
"{lon:-112.238648,lat:33.609903}",,"{city:PEORIA,formatted:8345 W Thunderbird Rd PEORIA, AZ 85381,street:8345 W Thunderbird Rd,state:AZ,postal_code:85381}",(623) 487-1171,129100,,[],0,["Sandwiches"],Subway
"{lon:-78.775124,lat:42.830135}",,"{city:Buffalo,formatted:2884 Ridge Rd Buffalo, NY 14224,street:2884 Ridge Rd,state:NY,postal_code:14224}",(716) 712-0748,233211,,[],0,["Mexican"],Mighty Taco
"{lon:-86.853726,lat:33.281958}",,"{city:Helena,formatted:4804 Highway 52 W Helena, AL 35080,street:4804 Highway 52 W,state:AL,postal_code:35080}",(205) 664-2804,521415,,[],0,[],Taco Bell
"{lon:-95.93721,lat:41.258537}",,"{city:OMAHA,formatted:210 S 16th St OMAHA, NE 68102,street:210 S 16th St,state:NE,postal_code:68102}",(402) 341-9981,129487,,[],0,["Sandwiches"],Subway
"{lon:-111.498406,lat:40.648286}",,"{city:Park City,formatted:890 Main St Park City, UT 84060,street:890 Main St,state:UT,postal_code:84060}",(435) 658-3975,61317,,[],0,"[American,American (New),Salads,Seafood,Soups]",Mustang
